0,25;0,75
0,5;1,5
0,75;2,25
1;3
1,25;3,75
1,5;4,5
1,75;5,25
2;6
2,25;6,75
2,5;7,5
2,75;8,25
3;9
3,25;9,75
3,5;10,5
3,75;11,25
4;12
4,25;12,75
4,5;13,5
4,75;14,25
5;15
5,25;15,75
5,5;16,5
5,75;17,25
6;18
6,25;18,75
6,5;19,5
6,75;20,25
7;21
7,25;21,75
7,5;22,5
7,75;23,25
8;24
8,25;24,75
8,5;25,5
8,75;26,25
9;27
9,25;27,75
9,5;28,5
9,75;29,25
10;30
10,25;30,75
10,5;31,5
10,75;32,25
11;33
11,25;33,75
11,5;34,5
11,75;35,25
12;36
12,25;36,75
12,5;37,5
